"Periodo","edad_mayor","Total","Hombres","Mujeres","porc_total","porc_hombres","porc_mujeres"
2003,"entre65y79",5422927,2422927,3e+06,12.9502583038415,5.78608756882618,7.16417073501535
2003,"mas80",1717122.92,576650.28,1140472.64,4.10058725729603,1.37707368677147,2.72351357052456
2004,"entre65y79",5408197,2417366,2990831,12.6973787395831,5.6754980734228,7.02188066616028
2004,"mas80",1784049.48,605094.24,1178955.24,4.18859592905293,1.42064180325165,2.76795412580127
2005,"entre65y79",5348515,2392285,2956230,12.3419873361315,5.52032688969131,6.82166044644018
2005,"mas80",1860961.06,635938.33,1225022.73,4.29426819136785,1.46746205543419,2.82680613593366
2006,"entre65y79",5429372,2436480,2992892,12.3269385054851,5.53182561995093,6.79511288553413
2006,"mas80",1929577.33,664394.89,1265182.44,4.38094517901666,1.50845345509361,2.87249172392305
2007,"entre65y79",5417888,2438554,2979334,12.0907576596307,5.44196658438177,6.64879107524889
2007,"mas80",2014768.22,699510.08,1315258.14,4.49623068774132,1.56105236168575,2.93517832605557
2008,"entre65y79",5435436,2452577,2982859,11.8964108637884,5.36789756462546,6.52851329916294
2008,"mas80",2091632.16,731353.14,1360279.02,4.57790608725284,1.60069540694836,2.97721068030448
2009,"entre65y79",5492427,2487341,3005086,11.8755453120724,5.37804703677909,6.49749827529331
2009,"mas80",2176161,766881.02,1409279.98,4.70522385857195,1.65812496041883,3.04709889815313
2010,"entre65y79",5551308,2521392,3029916,11.9410200971641,5.4235853144572,6.51743478270689
2010,"mas80",2261868,802966.02,1458901.98,4.86534186990388,1.72720255877711,3.13813931112676
2011,"entre65y79",5615826,2559922,3055904,12.0349543964819,5.48602191886835,6.54893247761356
2011,"mas80",2362623,843882.02,1518740.98,5.06320175537477,1.80847512489009,3.25472663048468
2012,"entre65y79",5663677,2587869,3075808,12.1000061870792,5.52878119838938,6.57122498868978
2012,"mas80",2453369,882943.02,1570425.98,5.24143239086343,1.88633921122945,3.35509317963398
2013,"entre65y79",5708638,2614840,3093798,12.2196416192152,5.59720334195106,6.62243827726419
2013,"mas80",2542452,921434.02,1621017.98,5.44225299871126,1.97237826258257,3.46987473612869
2014,"entre65y79",5789629,2659756,3129873,12.4503312312143,5.71968310822846,6.73064812298584
2014,"mas80",2640001,962701.02,1677299.98,5.67720088812893,2.0702443240539,3.60695656407503
2015,"entre65y79",5859608,2696782,3162826,12.617855097625,5.80714691253807,6.81070818508695
2015,"mas80",2721854,998288.02,1723565.98,5.8611359955975,2.14967512878933,3.71146086680817
2016,"entre65y79",5907991,2723282,3184709,12.723194908509,5.86474279951244,6.8584521089966
2016,"mas80",2780880,1025157.02,1755722.98,5.98878337106042,2.20773399575021,3.78104937531021
2017,"entre65y79",5960574,2753509,3207065,12.8122585170207,5.91866976853961,6.89358874848111
2017,"mas80",2856449,1056312.02,1800136.98,6.13993937977874,2.27054352062005,3.86939585915869
2018,"entre65y79",6071380,2809477,3261903,13.0129302165841,6.02161751465039,6.99131270193373
2018,"mas80",2886181.01,1069689.02,1816491.99,6.18601900647963,2.29268940021976,3.89332960625987
2019,"entre65y79",6224693,2882235,3342458,13.2617863172943,6.14063772883688,7.12114858845745
2019,"mas80",2880883.01,1068505.02,1812377.99,6.13775729722634,2.2764633138046,3.86129398342174
2020,"entre65y79",6384357,2948069,3436288,13.4546892206969,6.21289695989287,7.24179226080406
2020,"mas80",2834024,1039463,1794561,5.97255325226901,2.19061240175217,3.78194085051684
2021,"entre65y79",6448011,2978910,3469101,13.6076742424577,6.2865954908575,7.32107875160016
2021,"mas80",2862817,1054135,1808682,6.04159657168232,2.22461247159366,3.81698410008866
2022,"entre65y79",6657906.339787,3082911.621605,3574994.718182,14.0599821583753,6.51040735382299,7.54957480455226
2022,"mas80",2915377.698312,1089595.039301,1825782.659011,6.15661385595628,2.30097661796131,3.85563723799498
2023,"entre65y79",6836605.966107,3166915.267566,3669690.698541,14.4287124434191,6.68380040548153,7.74491203793755
2023,"mas80",2945095.287666,1105798.084766,1839297.2029,6.21564753546836,2.33379584324027,3.88185169222809
